Insitute,CountryName,CountryCode
ADA University,Azerbaijan,AZ
AE high school,United States,US
AGH University of Science and Technology,Poland,PL
Aalto University,Finland,FI
Adobe Systems,United States,US
Affiliated High School of Fujian Normal University,China,CN
Ahsanullah University of Science and Technology,Bangladesh,BD
Ain-shams university,Egypt,EG
Ains shams universty,Egypt,EG
Ajou University,South Korea,KR
Al Akhawayn University,Morocco,MA
Al-Baath University,Syria,SY
Al-Zaytoonah University of Jordan,Jordan,JO
Aleppo University,Syria,SY
Alexandru Ioan Cuza University,Romania,RO
Allame Helli,Iran,IR
AlternativaPlatform,Russia,RU
American International University Bangladesh,Bangladesh,BD
American University in Bulgaria,Bulgaria,BG
American University of Armenia,Armenia,AM
American University of Beirut,Lebanon,LB
Amirkabir University of Technology,Iran,IR
Amrita School of Engineering,India,IN
Amrita Vishwa Vidyapeetham,India,IN
Amur State University,Russia,RU
Arab Academy for Science and Technology,Egypt,EG
Assiut University,Egypt,EG
Astrakhan state university,Russia,RU
Ateneo de Naga University,Philippines,PH
Atlantik Ahmet Ulusoy College,Turkey,TR
Atlantik College,United Kingdom,GB
Azhar University,Egypt,EG
Babeș-Bolyai University,Romania,RO
Baku Turkish Private High School,Azerbaijan,AZ
Bandung Institute of Technology,Indonesia,ID
Bangladesh University,Bangladesh,BD
"Barnaul, Gymnasium 42",Russia,RU
Bauman MSTU,Russia,RU
"Begum Rokeya University, Rangpur",Bangladesh,BD
Beihang University,China,CN
Beijing Institute of Technology,China,CN
Beijing JiaoTong University,China,CN
"Beijing Normal University, Zhuhai",China,CN
Beijing University of Posts and Telecommunications,China,CN
"Beijing, BUAA",China,CN
Belarussian SUIR,Russia,RU
"Belgrade, School of Electrical Engineering",Serbia,RS
Benemérita Universidad Autónoma de Puebla,Mexico,MX
Bilkent University,Turkey,TR
Binus University,Indonesia,ID
Black Sabbath,United States,US
Black organization,United States,US
Bogazici University,Turkey,TR
Brac University,Bangladesh,BD
"Brest, Gymnasium 1",Belarus,BY
British University In Egypt,Egypt,EG
Buryat State University,Russia,RU
Business Information System - Helwan University,Egypt,EG
C.N. Liviu Rebreanu Bistrita,Romania,RO
CN Fratii Buzesti,Romania,RO
CN Unirea Tg Mures,Romania,RO
CNILC Ploiesti,Romania,RO
CNMV PLOIESTI,Romania,RO
CS Academy,United States,US
CTU in Prague,Czechia,CZ
Cairo University,Egypt,EG
Can Tho University,Vietnam,VN
Carnegie Mellon University,United States,US
Caucasus University,Georgia,GE
Central South Univercity,China,CN
Central South University,China,CN
ChangAn university,China,CN
Changchun University of Science and Technology,China,CN
Changjun High School,China,CN
Changsha University of Science and Technology,China,CN
Changzhou Senior High School of Jiangsu Province,China,CN
Changzhou University,China,CN
Charles University in Prague,Czechia,CZ
"Chelyabinsk, FML 31",Russia,RU
"Chelyabinsk, Lyceum№31",Russia,RU
Chengdu No.7 High School,China,CN
Chengdu University of Information Technology,China,CN
Chennai Mathematical Institute,India,IN
Cherkasy National University,Ukraine,UA
Chicken University,United States,US
China University of Geosciences,China,CN
China University of Petroleum,China,CN
Chittagong University of Eng and Tech,Bangladesh,BD
Chongqing Bashu Middle School,China,CN
Chongqing University,China,CN
"Christ University,Bangalore",India,IN
